,latitud,longitud,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_type_Casa,property_type_Departamento,property_type_PH
194311,-34.55962753,-58.46590805,5.0,4.0,172.0,158.0,0,1,0
194313,-34.5682428,-58.4504438,3.0,2.0,82.0,82.0,0,1,0
194317,-34.5718631201,-58.4556729619,4.0,3.0,198.0,120.0,0,1,0
194342,-34.593343,-58.4025123,3.0,2.0,64.0,56.0,0,1,0
194344,-34.59030914,-58.39156342,4.0,3.0,110.0,100.0,0,1,0
194345,-34.5921499,-58.378248,4.0,3.0,157.0,146.0,0,1,0
194347,-34.5948328934,-58.3895992196,2.0,1.0,56.0,56.0,0,1,0
194348,-34.5968838,-58.4019416,4.0,3.0,128.0,121.0,0,1,0
194349,-34.5912429,-58.3874876,3.0,2.0,57.0,57.0,0,1,0
194351,-34.5894921511,-58.3875762042,3.0,2.0,130.0,120.0,0,1,0
194352,-34.5944611,-58.384018,2.0,1.0,58.0,58.0,0,1,0
194353,-34.5973441,-58.3908727,1.0,1.0,22.0,22.0,0,1,0
194355,-34.5929388,-58.3856352,3.0,2.0,92.0,92.0,0,1,0
194356,-34.5915602,-58.3793975,4.0,3.0,188.0,153.0,0,1,0
194360,-34.586869,-58.3982784,4.0,3.0,158.0,145.0,0,1,0
194361,-34.5893714,-58.3909668,4.0,3.0,152.0,152.0,0,1,0
194363,-34.5955222,-58.3875499,6.0,4.0,270.0,270.0,0,1,0
194364,-34.5987631,-58.3869974,3.0,2.0,69.0,69.0,0,1,0
194366,-34.5880654,-58.3836912,1.0,1.0,24.0,24.0,0,1,0
194367,-34.5914057,-58.3883582,3.0,2.0,110.0,110.0,0,1,0
194371,-34.5981438,-58.3859507,3.0,2.0,95.0,95.0,0,1,0
194372,-34.590491,-58.3848778,3.0,2.0,230.0,204.0,0,1,0
194373,-34.59030914,-58.39156342,4.0,3.0,100.0,95.0,0,1,0
194374,-34.5946493,-58.3862673,5.0,3.0,168.0,168.0,0,1,0
194389,-34.625794,-58.4415754,2.0,1.0,83.0,44.0,0,1,0
194394,-34.61297989,-58.43854904,2.0,1.0,55.0,48.0,0,1,0
194396,-34.61754227,-58.43766403,3.0,2.0,64.0,51.0,0,1,0
194398,-34.6281242,-58.449617,3.0,2.0,76.0,66.0,0,1,0
194401,-34.57902527,-58.45971298,3.0,2.0,70.0,57.0,0,1,0
194403,-34.58599854,-58.45443726,2.0,1.0,35.0,32.0,0,1,0
194431,-34.6380037,-58.4995216,2.0,1.0,72.0,65.0,0,1,0
194432,-34.6380037,-58.4995216,3.0,2.0,87.0,75.0,0,1,0
194433,-34.6380037,-58.4995216,2.0,1.0,75.0,65.0,0,1,0
194434,-34.58974838,-58.48029709,2.0,1.0,52.0,48.0,0,1,0
194435,-34.59961319,-58.38978577,4.0,3.0,132.0,128.0,0,1,0
194436,-34.5908939,-58.3979036,2.0,1.0,60.0,60.0,0,1,0
194438,-34.6020355,-58.3989277,4.0,3.0,131.0,119.0,0,1,0
194441,-34.5958126,-58.4050448,4.0,3.0,106.0,100.0,0,1,0
194442,-34.5979594,-58.389629,3.0,2.0,117.0,117.0,0,1,0
194445,-34.5910102,-58.4045121,2.0,1.0,46.0,32.0,0,1,0
194446,-34.5780632,-58.408013,4.0,3.0,223.0,223.0,0,1,0
194450,-34.59843427796116,-58.44032413463129,4.0,3.0,82.0,77.0,0,1,0
194451,-34.6045099,-58.3909082,3.0,2.0,64.0,64.0,0,1,0
194452,-34.59843427796116,-58.44032413463129,4.0,3.0,82.0,77.0,0,1,0
194453,-34.6017046301,-58.4419593064,4.0,3.0,100.0,71.0,0,1,0
194456,-34.59843427796116,-58.44032413463129,3.0,2.0,60.0,58.0,0,1,0
194459,-34.603058,-58.5077864,3.0,2.0,102.0,94.0,0,1,0
194465,-34.6020828,-58.363912,3.0,2.0,145.0,111.0,0,1,0
194466,-34.5991761,-58.3642832,3.0,1.0,91.0,91.0,0,1,0
194468,-34.6237933,-58.4022563,3.0,2.0,54.0,54.0,0,1,0
194471,-34.56867981,-58.47286987,3.0,2.0,82.0,76.0,0,1,0
194472,-34.57249069,-58.50471878,2.0,1.0,44.0,44.0,0,1,0
194476,-34.56804276,-58.48948288,2.0,1.0,45.0,40.0,0,1,0
194478,-34.55013275,-58.49108124,3.0,2.0,80.0,80.0,0,1,0
194502,-34.6340618,-58.4328816,3.0,2.0,73.0,61.0,0,1,0
194505,-34.6047992999,-58.4951587672,2.0,1.0,40.0,36.0,0,1,0
